Date,Euro,GBP,JPY,CNY,MSCI,Natural_Gas,Brent_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,BNB,SOL,XRP,DOGE
5/18/23,0.501113586,0.410495815,0.71994764,0.534430774,0.68,9.6,-1.43,-1.43,-1.33,-1.25,0.64,1.33,0.34,0.25,0.14,1.6,0.4,-1.641062728,-0.498769519,-0.913392057,0.01,3.73233458,0.09
5/19/23,-0.397448932,-0.320924262,-0.599277978,-0.419302111,0.09,-0.27,-0.37,-0.37,-0.43,1.18,0.61,0.69,-0.33,0.19,1.05,0.77,-0.42,-0.057186782,-0.05673712,-0.721865904,-0.29,1.134780872,0.18
5/22/23,0.120303535,0.3138833,0.711847171,0.415358264,0.1,-7.16,0.54,0.54,0.61,-0.29,-0.18,-0.32,-0.42,0.18,-0.76,0.9,0.39,0.000371555,0.402896889,0.51987728,2.55,-1.603535892,-0.05
5/23/23,0.324946616,0.016099171,0.064911648,0.197580702,-1.01,-3.29,1.12,1.12,1.28,-0.22,-1.33,-0.44,-0.69,-0.1,-0.5,-0.42,-1.52,1.068960392,1.522778549,1.104712126,-4.07,0.692880238,-3.05
5/24/23,0.120840305,0.44469599,0.288309067,0.134770889,-1,3.32,1.98,1.98,1.96,-0.59,-1.7,-1.92,-0.77,-1.75,-2.39,-0.89,-1.28,-3.068190591,-2.660307882,-2.510458916,0.19,-2.532202068,0.32
5/25/23,0.307692308,0.348884381,0.481529395,0.269179004,0.29,-3.79,-2.68,-2.68,-3.38,-1.08,-0.33,-0.31,-0.11,-0.74,-0.44,0.39,-0.11,0.415290267,0.41606257,-0.233386361,0.52,0.141728558,0.11
5/26/23,0.112013442,-0.137741047,0.514984622,-0.204874603,1.11,-5.46,0.9,0.9,1.17,0.21,1.24,1.2,1,0.74,1.16,0.37,0.35,0.959337679,1.323228412,0.870110142,5.55,3.395788163,2.32
5/29/23,0,0,0,0,0.09,-3.53,0.16,0.16,-0.48,0,-0.21,-0.2,0,0,-0.36,1.03,0.28,3.533029561,3.241938829,1.252923325,3.31,4.602450598,-1.12
5/30/23,-0.083939564,-0.491816496,-0.498114282,0.229364293,-0.17,-0.94,-4.58,-4.58,0,0.6,-1.29,-0.27,-0.15,-1.38,-0.16,0.39,0.09,0.199457995,0.811210999,0.394804894,-2.02,6.217451572,-0.9
5/31/23,0.638257931,0.056469829,-0.035757706,0.43507741,-0.89,-2.62,-1.2,-1.2,-1.97,0.37,-1.54,-1.54,-0.41,-1.01,-1.97,-1.41,-0.61,-2.290282796,-2.195306189,-2.231202923,-1.56,-1.349406019,-0.32
6/1/23,-0.911458333,-1.116783663,-0.744026327,-0.23347398,1.11,-4.77,2.23,2.23,2.95,0.77,0.55,1.21,0.47,0.59,2.01,0.84,0,-0.729652225,0.266560829,0.012109351,3.71,-0.903986503,1.59
6/2/23,0.261096606,0.545396214,0.735188122,-0.150844447,1.47,0.65,2.49,2.49,2.34,-1.27,1.87,1.25,2.12,1.56,1.85,1.21,0.79,1.179667923,1.897874252,0.619792792,-0.32,2.987169758,0.19
6/5/23,0.027982464,0.225080386,-0.085861477,0.314851681,-0.11,3.36,0.76,0.76,0.57,0.17,-0.96,-0.54,-0.59,-0.1,-0.78,2.2,0.07,-5.678181277,-5.112496982,-10.63418759,1.95,-3.834215289,5.73
6/6/23,0.243104254,0.177162184,0.021483816,0.197044335,0.27,0.76,-0.55,-0.55,-0.57,0.34,0.11,0.18,0.03,0.37,0.67,0.9,-1.15,5.436434042,4.019805815,2.911398854,-8.65,5.08227279,-4.22
6/7/23,-0.065408335,-0.265038953,0.221951743,0.136255092,-0.4,2.96,0.87,0.87,1.1,-1.1,-0.09,-0.2,0.27,-0.05,0.07,-1.82,0.08,-3.357854638,-3.061892023,-8.965917208,1.42,-2.851783215,0.98
6/8/23,-0.723562152,-0.765123137,-0.821545935,-0.249694895,0.54,0.99,-1.29,-1.29,-1.71,1.27,0.27,0.18,0.5,-0.32,0.81,-0.85,0.49,1.613772695,1.61962867,2.182746244,-7.91,2.32140739,2.24
6/9/23,0.288398921,-0.254392241,0.374558813,0.230631847,0.12,-4.17,-1.54,-1.54,-1.57,-0.02,-0.12,-0.25,0.13,-0.49,-0.41,1.97,0.55,-0.391298132,-0.846039219,-0.417796059,-10.2,2.489001226,-11.08
6/12/23,0.018609845,0.720634158,0.265518479,0.23010116,0.71,0.53,-3.94,-3.94,-4.35,-0.46,0.52,0.93,0.56,0.11,0.91,0.52,-0.08,-2.049542573,-5.066186041,-11.73477179,-1,-2.219762207,0.47
