Date,Euro,GBP,JPY,CNY,MSCI,Natural_Gas,Brent_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,BNB,SOL,XRP,DOGE,Euro_expected_return,Euro_abnormal_return,Euro_CAR,GBP_expected_return,GBP_abnormal_return,GBP_CAR,JPY_expected_return,JPY_abnormal_return,JPY_CAR,CNY_expected_return,CNY_abnormal_return,CNY_CAR,Natural_Gas_expected_return,Natural_Gas_abnormal_return,Natural_Gas_CAR,Brent_Oil_expected_return,Brent_Oil_abnormal_return,Brent_Oil_CAR,Silver_expected_return,Silver_abnormal_return,Silver_CAR,Gold_expected_return,Gold_abnormal_return,Gold_CAR,GSCI_Precious_Metal_expected_return,GSCI_Precious_Metal_abnormal_return,GSCI_Precious_Metal_CAR,CAC40_expected_return,CAC40_abnormal_return,CAC40_CAR,DAX_expected_return,DAX_abnormal_return,DAX_CAR,Dow_Jones_expected_return,Dow_Jones_abnormal_return,Dow_Jones_CAR,FTSE_100_expected_return,FTSE_100_abnormal_return,FTSE_100_CAR,FTSE_MIB_expected_return,FTSE_MIB_abnormal_return,FTSE_MIB_CAR,Nikkei_225_expected_return,Nikkei_225_abnormal_return,Nikkei_225_CAR,SHCOMP_expected_return,SHCOMP_abnormal_return,SHCOMP_CAR,BTC_expected_return,BTC_abnormal_return,BTC_CAR,ETH_expected_return,ETH_abnormal_return,ETH_CAR,BNB_expected_return,BNB_abnormal_return,BNB_CAR,SOL_expected_return,SOL_abnormal_return,SOL_CAR,XRP_expected_return,XRP_abnormal_return,XRP_CAR,DOGE_expected_return,DOGE_abnormal_return,DOGE_CAR,Aggregate_AR,Aggregate_CAR,CAR_days,Euro_AR_t_stat,Euro_AR_p_value,Euro_CAR_t_stat,Euro_CAR_p_value,GBP_AR_t_stat,GBP_AR_p_value,GBP_CAR_t_stat,GBP_CAR_p_value,JPY_AR_t_stat,JPY_AR_p_value,JPY_CAR_t_stat,JPY_CAR_p_value,CNY_AR_t_stat,CNY_AR_p_value,CNY_CAR_t_stat,CNY_CAR_p_value,Natural_Gas_AR_t_stat,Natural_Gas_AR_p_value,Natural_Gas_CAR_t_stat,Natural_Gas_CAR_p_value,Brent_Oil_AR_t_stat,Brent_Oil_AR_p_value,Brent_Oil_CAR_t_stat,Brent_Oil_CAR_p_value,Silver_AR_t_stat,Silver_AR_p_value,Silver_CAR_t_stat,Silver_CAR_p_value,Gold_AR_t_stat,Gold_AR_p_value,Gold_CAR_t_stat,Gold_CAR_p_value,GSCI_Precious_Metal_AR_t_stat,GSCI_Precious_Metal_AR_p_value,GSCI_Precious_Metal_CAR_t_stat,GSCI_Precious_Metal_CAR_p_value,CAC40_AR_t_stat,CAC40_AR_p_value,CAC40_CAR_t_stat,CAC40_CAR_p_value,DAX_AR_t_stat,DAX_AR_p_value,DAX_CAR_t_stat,DAX_CAR_p_value,Dow_Jones_AR_t_stat,Dow_Jones_AR_p_value,Dow_Jones_CAR_t_stat,Dow_Jones_CAR_p_value,FTSE_100_AR_t_stat,FTSE_100_AR_p_value,FTSE_100_CAR_t_stat,FTSE_100_CAR_p_value,FTSE_MIB_AR_t_stat,FTSE_MIB_AR_p_value,FTSE_MIB_CAR_t_stat,FTSE_MIB_CAR_p_value,Nikkei_225_AR_t_stat,Nikkei_225_AR_p_value,Nikkei_225_CAR_t_stat,Nikkei_225_CAR_p_value,SHCOMP_AR_t_stat,SHCOMP_AR_p_value,SHCOMP_CAR_t_stat,SHCOMP_CAR_p_value,BTC_AR_t_stat,BTC_AR_p_value,BTC_CAR_t_stat,BTC_CAR_p_value,ETH_AR_t_stat,ETH_AR_p_value,ETH_CAR_t_stat,ETH_CAR_p_value,BNB_AR_t_stat,BNB_AR_p_value,BNB_CAR_t_stat,BNB_CAR_p_value,SOL_AR_t_stat,SOL_AR_p_value,SOL_CAR_t_stat,SOL_CAR_p_value,XRP_AR_t_stat,XRP_AR_p_value,XRP_CAR_t_stat,XRP_CAR_p_value,DOGE_AR_t_stat,DOGE_AR_p_value,DOGE_CAR_t_stat,DOGE_CAR_p_value,Aggregate_AR_t,Aggregate_AR_p,Aggregate_CAR_t,Aggregate_CAR_p
2023-04-14,0.673952641,0.918096158,1.034977714,0.01892919,-0.12,5.33,0.26,0.26,0.44,-1.89,0.52,0.5,-0.42,0.36,0.89,1.2,0.6,0.549602808,4.850008713,1.24987689,-2.73,2.667691123,0.21,0.10917261984379067,0.5647800211562093,,0.07387959136509026,0.8442165666349097,,0.14672162700083158,0.8882560869991685,,0.09912163784639555,-0.08019244784639555,,0.17830681955722116,5.151693180442779,,-0.5139025506901653,0.7739025506901653,,-0.5139025506901653,0.7739025506901653,,-0.5545835591784328,0.9945835591784329,,-0.1370998331816006,-1.7529001668183992,,-0.15967820362369567,0.6796782036236957,,-0.03075962889484126,0.5307596288948413,,-0.2066804717224395,-0.21331952827756048,,-0.14890926026301532,0.5089092602630153,,-0.21134796634162525,1.1013479663416252,,0.270913922758345,0.9290860772416549,,-0.152737505722871,0.752737505722871,,-0.43154633135955967,0.9811491393595597,,-0.3307408981557307,5.180749611155731,,-0.21405102861319195,1.463927918613192,,-0.13169433817299644,-2.5983056618270037,,-0.3688548020399577,3.036545925039958,,-0.30654949033558393,0.516549490335584,,0.9558207926188274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,0.595510765,0.469293632,0.575743981,0.139758335,0.05,7.62,-1.8,-1.8,-2.05,-0.54,-0.28,-0.11,0.3,0.1,-0.62,0.07,1.42,-3.313057343,-1.363813359,3.291151554,1.03,-2.558194448,2.8,0.09885398042754026,0.49665678457245976,,0.040262470259735846,0.4290311617402642,,0.21464147827238725,0.3611025027276128,,0.08727794051738369,0.05248039448261632,,0.4661472101811372,7.153852789818863,,-0.2697671383540236,-1.5302328616459764,,-0.2697671383540236,-1.5302328616459764,,-0.29630672579064143,-1.7536932742093585,,-0.175731886425709,-0.364268113574291,,-0.029677098517579145,-0.25032290148242087,,0.08894712091152597,-0.19894712091152597,,-0.039539807022638485,0.3395398070226385,,-0.06317348443785746,0.16317348443785745,,-0.060357650132971626,-0.5596423498670283,,0.3178079406897682,-0.2478079406897682,,-0.07933465674973465,1.4993346567497345,,-0.35168223753472594,-2.961375105465274,,-0.2312724078908377,-1.1325409511091622,,-0.1358327922491489,3.4269843462491485,,-0.09203413438377414,1.122034134383774,,-0.18089784421092672,-2.3772966037890733,,-0.33459339031726115,3.134593390317261,,0.2396556076414716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-18,-0.392407374,-0.483130687,-0.29737566,-0.04506731,0.31,4.0,0.01,0.01,0.04,0.64,0.47,0.59,-0.03,0.38,0.69,0.51,0.23,3.078426582,0.78328856,0.782224838,-8.62,2.30348914,-6.45,0.08307253190856904,-0.47547990590856903,,-0.011151950254335588,-0.47197873674566443,,0.31851889786417825,-0.6158945578641782,,0.06916405048477732,-0.11423136048477732,,0.9063736899588911,3.0936263100411088,,0.10361643345419319,-0.0936164334541932,,0.10361643345419319,-0.0936164334541932,,0.09870490174362773,-0.058704901743627726,,-0.23481620315199242,0.8748162031519924,,0.1691481210564814,0.3008518789435186,,0.2720280323800876,0.31797196761991237,,0.21608709192999834,-0.24608709192999834,,0.06795181976532516,0.31204818023467484,,0.17056871583320454,0.5194312841667954,,0.3895282034084153,0.12047179659158469,,0.03292852403270921,0.1970714759672908,,-0.22953715286145088,3.307963734861451,,-0.07914412866217777,0.8624326886621778,,-0.01620490133943603,0.798429739339436,,-0.03137735211790474,-8.588622647882094,,0.10656573835112068,2.1969234016488794,,-0.3774840608774734,-6.0725159391225265,,-0.17857769760731818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-19,0.045649594,-0.18485774,0.507046454,0.139626209,-0.09,-6.09,-1.95,-1.95,-2.1,-0.51,0.21,0.08,-0.23,-0.13,0.15,-0.18,-0.68,-3.937544442,-5.613329448,-5.133184215,-2.2,-5.428385315,-4.55,0.10735168347621707,-0.06170208947621707,,0.06794715822885124,-0.2528048982288512,,0.15870748310757668,0.3483389708924234,,0.09703157361186404,0.04259463538813596,,0.22910218260850046,-6.3191021826085,,-0.4708198308661403,-1.4791801691338597,,-0.4708198308661403,-1.4791801691338597,,-0.5090052944629402,-1.59099470553706,,-0.14391725434232563,-0.3660827456576744,,-0.13673683213438098,0.346736832134381,,-0.009634908340776467,0.08963490834077648,,-0.17718506030482756,-0.05281493969517245,,-0.1337794174703404,0.003779417470340385,,-0.1847026164224511,0.3347026164224511,,0.2791893376874197,-0.4591893376874197,,-0.13978406178643518,-0.5402159382135648,,-0.41745266774341255,-3.5200917742565876,,-0.3131876351678084,-5.300141812832192,,-0.20024781043130202,-4.932936404568698,,-0.12469547868078074,-2.0753045213192194,,-0.33568592712895223,-5.092699387871048,,-0.31149841386176225,-4.238501586138238,,-1.6634161491686206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-20,-0.154968095,-0.048200514,-0.511907412,-0.183003878,-0.38,1.22,-2.43,-2.43,-2.36,0.53,-0.14,-0.62,-0.33,0.05,-1.1,0.18,-0.09,-3.248722615,-1.671137203,-2.078927847,-4.13,-4.632457501,-6.52,0.1249540683627619,-0.2799221633627619,,0.1252940118791617,-0.1734945258791617,,0.04284420740904055,-0.5547516194090405,,0.11723552787900192,-0.30023940587900194,,-0.2619196602205328,1.481919660220533,,-0.8872861224983822,-1.542713877501618,,-0.8872861224983822,-1.542713877501618,,-0.9495951867127019,-1.410404813287298,,-0.07801551645531718,0.6080155164553172,,-0.3585034231977562,0.21850342319775617,,-0.21384054036340291,-0.40615945963659705,,-0.4623073706750763,0.1323073706750763,,-0.28003456446619795,0.33003456446619794,,-0.4422743323078014,-0.6577256676921988,,0.19919366003969785,-0.019193660039697857,,-0.2650006865053149,0.1750006865053149,,-0.5536914160328348,-2.6950311989671656,,-0.4828691773843906,-1.1882680256156095,,-0.33367891952290485,-1.7452489274770953,,-0.19235112043886582,-3.937648879561134,,-0.6563183846020051,-3.976139116397995,,-0.26365881977537164,-6.256341180224628,,-1.0791006898596558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21,-0.027339834,0.233513165,0.134228188,0.283739542,0.02,-0.71,0.69,0.69,0.75,-1.4,0.51,0.54,0.07,0.15,0.43,-0.33,-1.95,-3.385081838,-5.261776332,0.452652259,2.48,-6.308960516,2.35,0.10067491679511387,-0.12801475079511387,,0.04619490339597486,0.18731826160402515,,0.20265562216564212,-0.06842743416564212,,0.0893680047519152,0.1943715372480848,,0.4153518471298579,-1.1253518471298578,,-0.3128498581780486,1.0028498581780485,,-0.3128498581780486,1.0028498581780485,,-0.341884990506134,1.091884990506134,,-0.168914465264984,-1.231085534735016,,-0.052618470006893826,0.5626184700068938,,0.06782240035746116,0.47217759964253886,,-0.06903521844025043,0.13903521844025044,,-0.07830332723053238,0.22830332723053237,,-0.0870030000521458,0.5170030000521458,,0.3095325257606935,-0.6395325257606935,,-0.09228810068617048,-1.8577118993138295,,-0.3657759011508731,-3.019305936849127,,-0.24882567087875998,-5.01295066112124,,-0.14963601043103886,0.6022882694310389,,-0.09903299387598984,2.5790329938759897,,-0.2140667191219322,-6.094893796878067,,-0.32964446679108284,2.679644466791083,,-0.3599043879801715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,-0.489707083,-0.30504937,0.09681263,0.05513639,0.13,1.79,1.31,1.31,1.14,0.52,-0.04,-0.11,0.2,-0.02,-0.75,0.1,-0.78,0.506653957,-0.412897618,3.674369847,2.53,4.014459106,1.26,0.09399815011401065,-0.5837052331140107,,0.024442648563098482,-0.32949201856309845,,0.24660376122370756,-0.14979113122370757,,0.08170443589196635,-0.026568045891966353,,0.6016015116512153,1.1883984883487848,,-0.15487988548995688,1.464879885489957,,-0.15487988548995688,1.464879885489957,,-0.17476468654932784,1.3147646865493277,,-0.19391167618764238,0.7139116761876424,,0.03149989212059333,-0.07149989212059332,,0.14527970905569879,-0.2552797090556988,,0.0391146234243267,0.1608853765756733,,-0.022827236990724337,0.0028272369907243362,,0.010696616318159491,-0.7606966163181594,,0.3398757138339673,-0.2398757138339673,,-0.04479213958590577,-0.7352078604140942,,-0.3140991345583336,0.8207530915583336,,-0.18446370658971156,-0.22843391141028846,,-0.09902421043077572,3.773394057430776,,-0.07337050907119894,2.603370509071199,,-0.09244751111491215,4.1069066171149125,,-0.34779051972040337,1.6077905197204034,,0.7201005408446413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-25,0.537928519,0.475883207,-0.334796518,0.52495722,-1.32,1.5,-2.37,-2.37,-2.15,0.05,-0.56,0.05,-1.02,-0.27,-1.03,0.09,-0.32,3.1343926,2.066501187,1.832439399,-2.9,2.129712742,-1.43,0.1820100745467348,0.35591844445326526,,0.31117691681465076,0.1647062901853492,,-0.3327126172689731,-0.0020839007310268776,,0.18272420722765573,0.3422330127723443,,-1.853507702493951,3.353507702493951,,-2.2372113436511665,-0.13278865634883363,,-2.2372113436511665,-0.13278865634883363,,-2.3777141477981365,0.2277141477981366,,0.13559701324739987,-0.08559701324739986,,-1.0773330631962827,0.5173330631962827,,-0.8757484510574336,0.9257484510574336,,-1.3864969284269173,0.3664969284269173,,-0.7541029719700121,0.48410297197001206,,-1.2771619631085922,0.24716196310859218,,-0.060102674404641954,0.15010267440464195,,-0.6708752631803042,0.3508752631803042,,-0.9952928760054447,4.129685476005445,,-1.0328714176726226,3.099372604672623,,-0.76617975588879,2.59861915488879,,-0.41164871786162444,-2.4883512821383755,,-1.6956097984801763,3.8253225404801765,,-0.1085925492884505,-1.3214074507115494,,0.7716310786167386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26,-0.760043431,-0.704789364,-0.179157958,-0.085112522,-0.35,-8.24,-3.81,-3.81,-3.59,-0.39,-0.86,-0.48,-0.68,-0.49,-0.54,-0.71,-0.02,1.458204389,0.405146104,-1.85904238,4.92,-2.183618921,1.94,0.1231331319951883,-0.8831765629951883,,0.11936157874292268,-0.8241509427429227,,0.054830063515785676,-0.23398802151578568,,0.11514546364447041,-0.2002579856444704,,-0.2111242971692534,-8.028875702830748,,-0.8442034026743571,-2.965796597325643,,-0.8442034026743571,-2.965796597325643,,-0.9040169219972094,-2.6859830780027902,,-0.0848329376160422,-0.3051670623839578,,-0.33556205170844156,-0.5244379482915584,,-0.1927158198093381,-0.2872841801906619,,-0.4328119592574644,-0.24718804074253564,,-0.264904721673523,-0.22509527832647697,,-0.41562898238862717,-0.12437101761137287,,0.20746907496877254,-0.9174690749687725,,-0.252047242568879,0.23204724256887901,,-0.5395977524166876,1.9978021414166878,,-0.4653159143964683,0.8704620183964683,,-0.3198757013410149,-1.539166678658985,,-0.18535226094665014,5.10535226094665,,-0.6231495096909996,-1.5604694113090003,,-0.26860774330155,2.20860774330155,,-0.6411092170107401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-27,0.317690841,0.120279047,0.239306013,-0.059196373,1.3,11.24,0.88,0.88,0.62,0.19,0.23,0.03,1.57,-0.27,0.19,0.15,0.67,3.381346124,1.998392343,0.937464135,4.55,1.480919053,0.25,0.022981631778640155,0.29470920922135985,,-0.20692224375022303,0.32720129075022303,,0.7140521493867671,-0.4747461363867671,,0.00019193074523767006,-0.05938830374523767,,2.5826206706511083,8.657379329348892,,1.525346187647019,-0.6453461876470189,,1.525346187647019,-0.6453461876470189,,1.6027876373548835,-0.9827876373548835,,-0.4597911014559178,0.6497911014559178,,0.9262133802038658,-0.6962133802038658,,0.9691438106642263,-0.9391438106642263,,1.1894356687111927,0.3805643312888074,,0.5672366319235975,-0.8372366319235975,,1.049865263165952,-0.859865263165952,,0.6626168960678795,-0.5126168960678795,,0.4603921739350916,0.20960782606490846,,0.2355537464714042,3.1457923775285956,,0.5001135499392582,1.4982787930607417,,0.43930129866293227,0.49816283633706776,,0.19958501112521332,4.350414988874786,,1.2011386104143011,0.2797804425856989,,-0.5407985372413584,0.7907985372413584,,0.6558995740432686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
