Date,Euro,GBP,JPY,CNY,MSCI,Natural_Gas,Brent_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,BNB,SOL,XRP,DOGE
11/6/23,-0.130268912,-0.137196352,0.274504553,-0.42462845,0.2,-7.14,0.34,-0.22,-0.53,-0.5,-0.48,-0.35,0.1,0,-0.29,2.37,0.91,0.364305491,0.871670959,4.158220813,1.8,10.66668097,-3.98
11/7/23,0.561429774,0.772608979,0.467383321,0.12793177,-0.07,-3.8,-4.19,-2.78,-0.76,-0.73,-0.39,0.11,0.17,-0.1,-0.69,-1.34,-0.04,0.491664199,-1.222401412,-3.437032852,0.42,-5.469994542,2.62
11/8/23,-0.261315912,-0.040647102,0.199375291,0.016486234,0.04,-1.08,-2.54,0.62,-0.8,-0.46,0.69,0.51,-0.12,-0.11,0.13,-0.33,-0.16,1.397234428,0.574889915,0.180000081,5.12,0.752768847,-2.33
11/9/23,0.046685341,0.179167685,0.179080719,0.048076923,-0.33,-2.09,0.59,0.78,0.61,0.84,1.13,0.81,-0.65,0.73,0.74,1.49,0.03,2.134864423,10.76899486,0.767783123,25.02,-3.479741866,2.55
11/10/23,0.093457944,0.089664167,0.344279661,0.075513146,0.76,-0.26,1.77,-2.72,-1.63,-1.51,-0.96,-0.77,1.15,-1.28,-0.49,-0.24,-0.47,2.244252591,-0.553266852,1.201060991,-0.57,-0.28359347,4.16
11/13/23,0.093457944,0.089664167,0.344279661,0.075513146,0.13,5.41,1.34,0.35,0.65,0.83,0.6,0.73,0.16,0.89,1.48,0.05,0.25,-1.858174002,-0.116896093,-2.829422129,9.98,-1.666984832,-2.87
11/14/23,-1.482368106,-1.722342386,-0.534441805,-0.49389491,2.02,-2.85,-0.06,3.46,0.84,1.05,1.39,1.76,1.43,0.2,1.45,0.34,0.31,-2.375535222,-3.505645259,0.315853093,15.37,-3.760568526,5.28
11/15/23,0.073712338,0.418309066,0.212271973,-0.088239349,0.4,8.24,-1.56,1.76,-0.11,0.06,0.33,0.86,0.47,0.62,0.42,2.52,0.55,5.933126671,3.346149588,4.372119126,-11.81,3.056313554,4.34
11/16/23,0.018431481,0.064396684,-0.317733501,-0.068997875,-0.07,-3.66,-4.63,1.68,1.17,1.22,-0.57,0.24,-0.13,-1.01,-0.71,-0.28,-0.71,-3.98922776,-4.16157386,-3.953330223,1.18,-5.202643552,8.75
11/17/23,-0.257376597,-0.056315366,-0.511322133,-0.408749448,0.41,-3.33,4.12,-0.34,-0.13,-0.15,0.91,0.84,0,1.26,0.82,0.48,0.11,0.913267222,-0.24643182,0.764015527,0.09,0.152991214,-7.22
11/20/23,-0.603015075,-0.599760096,-1.041249499,-0.610094287,0.66,-7.95,2.12,0.45,-0.22,-0.29,0.18,-0.11,0.58,-0.11,0.15,-0.59,0.46,1.239032776,2.217299376,4.074240628,-8.63,-1.565233862,-7.6
11/21/23,0.201409869,-0.279106858,-0.256306489,-0.457589286,-0.17,-1.25,0.16,1.09,1.08,1.07,-0.24,-0.01,-0.18,-0.19,-1.32,-0.1,-0.01,-2.842611133,-4.067376569,-11.58435988,11.2,-5.300192589,5.48
11/22/23,0.47833686,0.577478345,1.210440898,0.277497477,0.16,1.79,-0.59,-0.78,-0.44,-0.46,0.43,0.36,0.53,-0.17,0.01,0.29,-0.79,2.932100038,6.291039707,5.016327165,-1.86,5.676219734,0.51
11/23/23,-0.576184379,-1.055471788,-0.066813657,-0.08665269,0.13,1.14,-0.66,-1.19,0.51,,0.24,0.23,0,0.19,0.28,0,0.6,-0.392713837,0.03437441,-0.991217382,0.8,1.124846012,2.66
11/24/23,-0.576184379,-1.055471788,-0.066813657,-0.08665269,0.21,-2.56,-1.03,3.98,,0.72,0.2,0.22,0.33,0.06,0.67,0.52,-0.68,1.076649281,0.453489498,-0.490956404,3.42,0.064938518,0.85
11/27/23,-0.027429825,-0.095139935,-0.454636625,0.055953447,-0.24,-2.14,-0.74,1.4,0.47,0.56,-0.37,-0.39,-0.16,-0.37,-0.31,-0.53,-0.3,-1.54934214,-2.748001213,-2.573466157,5.69,-2.87962387,2.47
11/28/23,-0.635958935,-0.786596397,-0.994022433,-0.206911979,0.15,-3.15,2.13,1.05,1.37,1.31,-0.21,0.16,0.24,-0.07,0.12,-0.12,0.23,2.154837666,1.47840548,1.425134103,1.89,1.587391368,-0.42
11/29/23,0.346430851,0.181245075,-0.013567601,-0.112076212,0.05,3.62,1.74,0.56,1.33,0.36,0.24,1.09,0.04,-0.43,1.06,-0.26,-0.56,-0.232029586,-1.024733087,-1.003773946,-0.16,-0.357158063,3.72
