Date,Euro,GBP,JPY,CNY,MSCI,Natural_Gas,Brent_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,BNB,SOL,XRP,DOGE
3/9/23,0.265428003,0.718087353,-0.561306313,0.192816853,-1.25,-0.31,-1.29,0.1,0.88,0.97,-0.12,0.01,-1.66,-0.63,-0.72,0.63,-0.22,-6.626920747,-7.301225715,-3.849166153,5,-4.57,-0.27
3/10/23,0.775267089,1.014930381,-0.996994355,-0.868878357,-1.25,-4.44,1.46,1.75,1.78,1.92,-1.3,-1.31,-1.07,-1.67,-1.55,-1.67,-1.4,-0.870505542,-0.223401285,0.635713639,-0.52,-0.27,0.59
3/13/23,0.694248991,0.971518725,-1.421695668,-0.825787758,-0.52,7.24,-2.43,6.96,2.64,3.13,-2.9,-3.04,-0.28,-2.58,-4.03,-1.11,1.2,10.87525895,6.776249581,8.047697277,2.4,0.27,2.47
3/14/23,-0.102487655,-0.115131579,0.901374596,0.328683076,1.16,-1.27,-4.11,0.62,-0.29,-0.22,1.86,1.83,1.06,1.17,2.36,-2.19,-0.72,2.077434648,1.291056853,-0.01932778,-7.9,0.07,-6.67
3/15/23,-1.744077597,-0.938580603,-1.131541726,0.473209086,-1.34,-1.05,-5.38,-0.71,1.07,0.92,-3.58,-3.27,-0.87,-3.83,-4.61,0.03,0.55,-1.367118207,-3.134418324,-1.124449857,2.26,-3.65,4.14
3/16/23,0.8258187,0.656582447,0.15059107,-0.057966814,1.5,3.14,1.38,-0.85,-0.43,-0.47,2.03,1.57,1.17,0.89,1.38,-0.8,-1.12,2.366247154,1.304970366,8.09100507,9.79,1.62,5.31
3/17/23,0.235360572,0.247708695,-0.751823171,-0.137751033,-0.81,-6.85,-2.05,3.53,2.63,2.69,-1.43,-1.33,-1.19,-1.01,-1.64,1.2,0.73,10.80626742,6.602417686,1.746082469,-1.89,4.14,-4.53
3/20/23,0.704423781,0.955440244,-0.318157715,-0.145201104,0.83,-4.7,1.06,0.81,0.47,0.51,1.27,1.12,1.2,0.93,1.59,-1.42,-0.48,-0.495488466,-3.124067916,-0.58876198,1.93,-3.19,7.49
3/21/23,0.438351054,-0.505833401,0.516756592,0.087247346,1.25,6.61,2.03,-0.93,-2.1,-1.97,1.42,1.75,0.98,1.79,2.53,0,0.64,0.237749824,2.598209704,-0.313160132,-5.09,25.49,-3.7
3/22/23,0.213576005,0.303403034,0.302411734,-0.040679936,-0.95,-7.16,1.8,1.57,0.44,0.53,0.26,0.14,-1.63,0.41,-0.12,1.93,0.31,-2.969268955,-3.772221821,-4.157577199,3.54,-10.07,4.79
3/23/23,0.908080059,0.735775016,-1.266299842,-0.892415918,0.4,-1.04,-0.62,2.07,2.37,2.35,0.11,-0.04,0.23,-0.89,-0.16,-0.17,0.64,3.631845901,4.673161661,2.016242817,-6.87,5.43,-3.64
3/24/23,-1.175390266,-0.787209869,-0.267195969,0.714201912,-0.16,3.42,-1.21,0.45,-0.61,-0.49,-1.74,-1.66,0.41,-1.26,-2.23,-0.13,-0.64,-3.355683337,-3.714186404,-2.105275957,-1.13,-4.15,-0.69
3/27/23,0.250882736,0.433537832,0.650642988,0.2315253,0.37,-11.56,4.17,-0.74,-1.51,-1.45,0.9,1.14,0.6,0.9,1.21,0.33,-0.44,-2.416662479,-2.823186532,-5.804375019,2.78,6.99,1.23
3/28/23,0.509778478,0.513112885,-0.395467336,-0.158351977,0.09,-2.78,0.68,1.17,1.01,0.98,0.14,0.09,-0.12,0.17,0.47,0.15,-0.19,0.065113268,3.262886417,1.450063969,3.21,7.33,2.52
3/29/23,-0.165990409,-0.22688599,1.31327785,0.199345216,1.28,-1.92,-0.47,0.2,-0.33,-0.25,1.39,1.23,1,1.07,1.56,1.33,-0.16,4.034028036,1.425068089,0.363320584,-2.63,5.5,-1.84
3/30/23,0.674302605,0.446682368,0.015072726,-0.235253115,0.74,5.68,1.26,2.56,1.57,0.81,1.06,1.26,0.43,0.74,1.05,-0.36,0.65,-0.78449665,-0.093038285,0.836302329,2.97,-1.95,3.72
3/31/23,-0.247729149,0.008085382,0.030140909,-0.034934498,1.15,5.32,0.63,0.7,-0.58,-0.46,0.81,0.69,1.26,0.15,0.34,0.93,0.36,1.447835193,1.748183506,-0.102842685,-0.44,1.09,6.28
4/3/23,0.174760854,0.27488075,-0.301318267,0.145611276,0.44,-5.37,6.47,-0.56,0.71,0.6,0.32,-0.31,0.98,0.54,0.24,0.52,0.72,-1.110865362,0.432312115,-2.292376212,2.33,-4.31,-0.91
4/4/23,0.550913598,0.765943723,-0.56667926,0.005815982,-0.24,0.43,0.01,4.5,1.89,2.13,-0.01,0.14,-0.59,-0.5,-0.56,0.35,0.49,1.848070763,4.25216757,1.810548069,0.23,1.41,-2.57
